country,agency,date,rating,rating_numeric,outlook,action,source,available_date
Portugal,Fitch,2011-12-06,BB+,11,Negative,affirm,countryeconomy.com,2011-12-06
Portugal,Fitch,2012-02-21,BB+,11,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-02-21
Portugal,Fitch,2012-05-11,BB+,11,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-05-11
Portugal,Fitch,2012-11-12,BB+,11,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-11-12
Portugal,Fitch,2013-08-09,BB+,11,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2013-08-09
Portugal,Fitch,2013-10-23,BB+,11,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2013-10-23
Portugal,Fitch,2014-04-11,BB+,11,,affirm,countryeconomy.com,2014-04-11
Portugal,Fitch,2014-07-08,BB+,11,,affirm,countryeconomy.com,2014-07-08
Portugal,Fitch,2014-10-10,BB+,11,,affirm,countryeconomy.com,2014-10-10
Portugal,Fitch,2015-03-27,BB+,11,,affirm,countryeconomy.com,2015-03-27
Portugal,Fitch,2015-09-25,BB+,11,,affirm,countryeconomy.com,2015-09-25
Portugal,Fitch,2016-03-04,BB+,11,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2016-03-04
Portugal,Fitch,2016-07-22,BB+,11,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2016-07-22
Portugal,Fitch,2016-08-19,BB+,11,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2016-08-19
Portugal,Fitch,2017-02-03,BB+,11,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-02-03
Portugal,Fitch,2017-06-16,BB+,11,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-06-16
Portugal,Fitch,2017-12-15,BBB,9,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-12-15
Portugal,Fitch,2018-06-01,BBB,9,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-06-01
Portugal,Fitch,2018-11-30,BBB,9,,affirm,countryeconomy.com,2018-11-30
Portugal,Fitch,2019-05-24,BBB,9,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-05-24
Portugal,Fitch,2019-11-22,BBB,9,Positive,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-11-22
Portugal,Fitch,2020-04-17,BBB,9,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2020-04-17
Portugal,Fitch,2020-05-22,BBB,9,,affirm,countryeconomy.com,2020-05-22
Portugal,Fitch,2020-11-01,BBB,9,Stable,affirm,theglobaleconomy.com (month-precision),2020-11-01
Portugal,Fitch,2021-05-01,BBB,9,Stable,affirm,theglobaleconomy.com (month-precision),2021-05-01
Portugal,Fitch,2021-11-01,BBB,9,Stable,affirm,theglobaleconomy.com (month-precision),2021-11-01
Portugal,Fitch,2022-05-01,BBB,9,Positive,outlook_change,theglobaleconomy.com (month-precision),2022-05-01
Portugal,Fitch,2022-10-28,BBB+,8,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2022-10-28
Portugal,Fitch,2023-04-01,BBB+,8,Stable,affirm,theglobaleconomy.com (month-precision),2023-04-01
Portugal,Fitch,2023-10-01,A-,7,Stable,upgrade,theglobaleconomy.com (month-precision),2023-10-01
Portugal,Fitch,2024-03-01,A-,7,Stable,affirm,theglobaleconomy.com (month-precision),2024-03-01
Portugal,Fitch,2024-09-01,A-,7,Positive,outlook_change,theglobaleconomy.com (month-precision),2024-09-01
Portugal,Fitch,2025-03-01,A-,7,Positive,affirm,theglobaleconomy.com (month-precision),2025-03-01
Portugal,Fitch,2025-09-01,A,6,Stable,upgrade,theglobaleconomy.com (month-precision),2025-09-01
Portugal,Fitch,2026-03-01,A,6,Positive,outlook_change,theglobaleconomy.com (month-precision),2026-03-01
Portugal,Moody's,1986-11-18,A1,5,Stable,initial,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),1986-11-18
Portugal,Moody's,1997-02-10,Aa3,4,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),1997-02-10
Portugal,Moody's,1998-05-04,Aa2,3,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),1998-05-04
Portugal,Moody's,2003-11-15,Aa2,3,Stable,affirm,countryeconomy.com,2003-11-15
Portugal,Moody's,2009-10-29,Aa2,3,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-10-29
Portugal,Moody's,2010-05-05,Aa2,3,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-05-05
Portugal,Moody's,2010-07-13,A1,5,Stable,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-07-13
Portugal,Moody's,2010-12-21,A1,5,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-12-21
Portugal,Moody's,2011-03-15,A3,7,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-03-15
Portugal,Moody's,2011-04-05,Baa1,8,Under Review,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-04-05
Portugal,Moody's,2011-07-05,Ba2,12,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-07-05
